"ORDEN_V"	"CPRO"	"CMUN"	"TIPO_VIV"	"TENEN_VIV"	"RT_imp"	"SUPERF"	"PLANTAS_sr"	"PLANTAS_br"	"TIPO_EDIF"	"ANOCO"	"TAM_HOG_5"
3283	29	067	1	2	1	47	5	0	3	1961	2
3285	29	992	0			156			1		
3331	29	091	0			66	3	0	3	2000	
3361	29	051	0			91	4	0	3	2004	
3369	29	067	1	4	0	56	3	0	3	1971	1
3399	29	070	1	2	0	77	6	0	3	2017	4
3414	29	067	1	2	1	199	1	0	2	2000	4
3441	29	054	1	3	1	74	3	0	3	2007	1
3462	29	991	1	2	0	89	4	0	3	1999	5
3469	29	051	1	2	1	42	3	0	3	1981	1
3477	29	067	1	2	1	48	3	1	3	1970	3
3488	29	054	1	2	0	87	5	0	3	1975	4
3526	29	069	0			201	1	0	1	1979	
3552	29	067	1	3	0	82	5	0	3	1971	4
3565	29	082	0			56	1	0	1	1974	
3566	29	069	0			97	3	0	3	2003	
3568	29	067	1	2	1	98	10	0	3	1965	5
3591	29	067	1	2	0	65	5	0	3	1964	2
3592	29	067	1	3	1	152	1	0	1	1981	5
3657	29	082	1	2	0	75	4	0	3	2009	3
3674	29	991	1	2	0	157	1	0	1	1998	5
3680	29	067	1	2	0	88	9	0	3	2007	4
3703	29	067	0			47	4	0	3	2005	
3715	29	067	1	2	0	65	8	0	3	1976	4
3723	29	069	0			95	4	0	3	2000	
3764	29	067	1	2	0	59	10	0	3	1973	3
3768	29	992	1	2	0	168	1	0	1	1952	2
3784	29	067	1	2	0	132	1	0	1	2000	4
3793	29	070	0			49	1	0	1	1982	
3819	29	991	0			175	1	0	1		
3923	29	992	0			26			1	1900	
3937	29	069	1	2	0	245	1	0	1	1978	1
3956	29	094	1	2	0	75	1	0	1	1973	3
3962	29	082	0			25	1	0	2	1989	
3977	29	992	0			59	1	0	1	1960	
3982	29	993	1	2	1	119	3	0	3	2006	4
3991	29	082	1	2	1	82	6	0	3	2006	3
3998	29	067	1	3	1	58	9	0	3	1975	2
4004	29	054	1	2	0	114	1	0	1	1955	1
4039	29	992	1	2	0	57	1	0	1	1943	4
4042	29	991	1	2	1	47	1	0	1		1
4044	29	025	1	2	0	75	2	0	3	2001	4
4058	29	067	1	2	0	55	8	1	3	1971	1
4099	29	069	0			332	7	0	3	1988	
4105	29	067	1	3	0	51	6	0	3	1965	1
4223	29	067	1	2	0	56	10	0	3	1968	1
4226	29	067	1	2	0	128	3	0	1	1980	5
4231	29	007	1	2	0	125	1	0	1	1990	3
4251	29	993	0			330	1	0	1		
4311	29	992	0			164	3	0	1	1997	
4328	29	992	1	2	0	100	1	0	1	1940	1
4390	29	025	1	2	1	80	4	0	3	2005	2
4409	29	051	1	3	1	82	6	0	3	2005	1
4488	29	007	1	2	0	176	1	0	1	1980	4
4505	29	051	0			68	6	0	3	1968	
4533	29	067	1	3	1	127	1	0	1		1
4561	29	067	1	2	0	76	5	1	3	1997	2
4576	29	901	1	2	1	47	10	0	3	2007	5
4604	29	069	1	3	1	78	8	0	3	2001	5
4693	29	069	0			231	4	1	3	2005	
4697	29	042	1	2	1	89	4	1	3	2003	1
4709	29	069	1	2	0	61	4	0	3	1977	2
4720	29	067	1	2	1	75	5	0	3	2019	2
4729	29	094	1	2	0	151	4	0	3	1991	1
4765	29	067	1	2	0	81	10	0	3	1979	3
4767	29	069	0			114	2	0	1	2000	
4809	29	067	0			45	3	1	3	2009	
4917	29	038	1	2	0	148	1	0	1	1975	3
4919	29	067	1	2	0	111	1	1	3	1990	3
4983	29	054	1	2	0	119	7	0	3	1990	1
4984	29	993	0			136	1	0	1	2003	
5021	29	067	0			51	1	0	1		
5049	29	054	1	4	0	73	10	1	3	1979	1
5052	29	015	1	2	0	95	5	0	3	1975	3
5074	29	069	1	2	1	88	5	0	3	2017	4
5075	29	067	1	2	0	47	2	0	3	1950	2
5141	29	993	0			119	1	0	1	1995	
5242	29	067	1	2	0	85	6	0	3	1951	1
5275	29	070	0			127	1	0	1	1992	
5306	29	067	1	4	0	65	10	0	3	1981	2
5338	29	067	0			79	10	0	3	1977	
5478	29	901	0			99	6	0	3	1998	
5491	29	067	0			66	10	0	3	1975	
5509	29	075	0			27	1	0	2	1987	
5566	29	075	0			84	1	0	1	2004	
5594	29	069	0			191	1	0	1	1988	
5605	29	991	0			66	1	0	1	1950	
5643	29	901	1	4	1	63	9	0	3	1976	3
5680	29	067	0			119	7	0	3	2005	
5700	29	067	1	2	0	95	3	1	3	1999	4
5721	29	067	1	2	0	68	9	0	3	1975	3
5794	29	007	1	2	0	142	1	0	1	2006	4
5804	29	991	1	2	1	120	1	0	1	1950	2
5836	29	038	1	2	0	89	1	0	1	2007	4
5842	29	067	0			48	5	0	3	1989	
5855	29	901	1	2	0	113	2	0	3	2008	4
5885	29	051	1	2	0	117	2	0	1	2007	4
5886	29	069	0			355	1	0	1	1990	
5903	29	067	1	4	0	76	8	0	3	1974	2
5948	29	067	0			57	10	0	3	1972	
5981	29	067	1	2	0	67	7	0	3	1972	2
6014	29	067	1	4	0	70	10	1	3	1973	1
6042	29	991	0			144	1	0	1		
6052	29	067	1	2	1	37	5	0	3	1968	4
6096	29	025	0			57	5	0	3	2004	
6138	29	069	1	2	0	68	8	0	3	2011	5
6161	29	094	1	2	0	75	3	0	3	2006	1
6192	29	070	1	2	0	69	5	0	3	1987	2
6193	29	067	1	2	0	61	10	0	3	1964	2
6231	29	070	1	4	0	34	4	0	3	2006	4
6257	29	082	1	2	1	51	1	0	1		3
6403	29	068	0			75	6	0	3	1985	
6405	29	993	1	2	0	73	1	0	1	1985	2
6409	29	070	0			63	1	0	1	2000	
6434	29	992	0			94	1	0	1	2007	
6444	29	068	0			108	1	0	1	1992	
6449	29	070	0			157	3	0	3	1986	
6543	29	068	0			57	4	0	3	2008	
6585	29	991	0			141	1	0	2	2012	
6629	29	025	1	2	0	27	3	2	3	2003	1
6659	29	094	1	2	1	78	6	0	3	2000	5
6662	29	069	1	2	0	110	1	0	1	2004	2
6713	29	069	1	2	0	119	2	0	3	1981	2
6732	29	084	1	2	0	94	2	0	3	1998	4
6752	29	051	1	2	1	93	3	0	3	2005	3
6753	29	993	1	2	0	114	3	0	3	2008	4
6779	29	067	1	3	1	80	7	0	3	2002	4
6820	29	067	1	2	0	104	2	0	1	1985	2
6823	29	070	1	2	0	79	6	0	3	2003	3
6831	29	991	0			274	1	0	1		
6886	29	069	1	3	1	84	10	0	3	1975	1
6893	29	067	1	3	1	77	10	0	3	1975	1
6894	29	070	1	2	1	119	4	0	3	2006	1
6910	29	094	1	2	0	86	1	0	1	2010	3
6923	29	067	1	2	0	73	8	0	3	1982	2
6954	29	051	1	2	1	51	10	0	3	1980	2
6959	29	067	1	4	1	74	10	0	3	1975	4
7027	29	075	0			43	3	0	3	2005	
7112	29	094	0			81	4	0	3	1974	
7113	29	991	1	3	1	288	1	0	3	1958	1
7131	29	069	0			284	1	0	1	2005	
7207	29	993	1	2	1	65	2	0	1	1941	4
7210	29	025	0			50	2	0	3	1965	
7216	29	067	1	2	1	61	7	0	3	1992	3
7217	29	993	0			558	2	0	1	2005	
7227	29	015	0			70	5	0	3	2006	
7259	29	038	1	2	0	62	4	0	3	2007	2
7288	29	991	1	2	0	171	1	0	1	1935	4
7306	29	993	1	3	1	71	1	0	1	1967	4
7313	29	992	0			91	1	1	1	1950	
7316	29	094	0			65	5	0	3	2013	
7331	29	008	1	2	0	119	1	0	1	2000	1
7361	29	091	1	2	0	89	2	0	1	2008	4
7391	29	008	0			78	5	0	3	2003	
7415	29	993	1	3	1	63	1	0	3	1980	2
7428	29	067	0			93	7	0	3	2007	
7432	29	069	1	2	0	64	5	1	3	1967	2
7458	29	991	0			98	1	1	1	1930	
7461	29	068	1	2	0	114	4	0	3	2008	1
7466	29	992	1	2	0	75	1	0	1	1970	2
7480	29	069	1	2	0	88	2	0	3	1985	2
7494	29	991	1	2	0	80	4	0	3	2002	3
7513	29	084	0			134	4	0	3	1960	
7530	29	007	1	2	0	61	3	0	3	2009	4
7536	29	067	1	2	0	87	8	0	3	1996	1
7568	29	067	1	2	1	61	4	0	3	1996	4
7569	29	070	1	2	1	62	3	0	3	1991	2
7601	29	067	1	2	0	94	10	0	3	1977	4
7609	29	067	1	2	0	96	10	0	3	1967	5
7610	29	082	1	2	0	159	1	0	1	1997	2
7639	29	069	1	2	0	104	8	0	3	1999	4
7657	29	094	1	2	0	94	2	0	1	1978	2
7667	29	054	1	2	0	162	1	0	3	1986	5
7670	29	067	1	2	0	75	4	0	3	2005	2
7700	29	991	1	2	0	65	1	0	1	2011	2
7772	29	993	1	2	0	85	1	0	1	2004	4
7796	29	025	1	4	1	58	9	1	3	1970	1
7808	29	054	0			49	8	0	3	1980	
7816	29	069	0			100	6	0	3	2000	
7817	29	054	0			70	10	0	3	1980	
7819	29	067	1	3	1	65	10	0	3	1967	5
7832	29	051	0			87	3	0	3	1990	
7881	29	051	1	2	1	114	9	0	3	2004	2
7916	29	025	0			60	5	0	3	1998	
7926	29	067	0			61	5	0	3	1968	
7933	29	067	1	2	0	65	10	0	3	1970	4
7949	29	082	1	2	0	68	3	1	3	2001	3
7950	29	094	0			84	5	0	3	1991	
7960	29	094	1	3	1	116	2	0	1	1991	4
8080	29	069	1	2	0	94	3	0	3	1990	2
8113	29	993	0			71	1	0	1	1962	
8176	29	991	0			120	2	0	1	1970	
8221	29	070	0			178	1	0	3	2004	
8232	29	067	0			56	9	0	3	2006	
8284	29	051	1	2	0	91	1	0	2	1995	1
8292	29	069	0			63	7	1	3	1975	
8344	29	091	1	2	1	78	4	0	3	2003	3
8402	29	993	1	2	0	174	2	0	3	1975	4
8445	29	094	0			54	1	0	1	1970	
8463	29	069	0			114	2	0	1	1985	
8480	29	075	0			52	5	1	3	1986	
8521	29	067	1	2	0	59	9	0	3	1971	5
8526	29	070	1	4	1	99	2	0	2	1940	3
8532	29	992	0			35	1	0	2	1970	
8536	29	067	1	2	0	61	10	0	3	1980	1
8584	29	901	0			65	3	0	3	1981	
8591	29	091	0			109	1	0	1	1972	
8612	29	067	1	4	1	298	7	0	3	1961	4
8619	29	067	1	3	0	26	2	0	1	1945	2
8636	29	991	1	3	1	60	2	0	2	1970	1
8664	29	042	1	2	1	30	3	0	3	2007	1
8666	29	991	0			30	1	0	3	1977	
8677	29	069	1	2	0	69	6	0	3	2003	2
8783	29	991	1	2	0	123	2	0	1	1980	2
8810	29	094	0			54	7	0	3	1970	
8842	29	901	1	3	1	44	10	0	3	1964	1
